genome	number of scaffolds	taxonomy	completeness score	contamination score	5S rRNA	16S rRNA	23S rRNA	tRNA count	assembly quality
C04M3_subsampled_20Gb_Hybrid_bin.35	79	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UMGS1872;s__	96.64	1.342	C04M3_subsampled_20Gb_Hybrid_bin.35_NODE_932_length_67500_cov_3.156229 (1, 77)			27	med
C04M3_subsampled_20Gb_Hybrid_bin.36	324	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3402;s__	90.18	7.436				37	med
C04M3_subsampled_20Gb_Hybrid_bin.37	5	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__	99.43	0.88	2 present	2 present	2 present	53	med
C04M3_subsampled_20Gb_Hybrid_bin.38	52	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	96.53	1.915				49	med
C04M3_subsampled_20Gb_Hybrid_bin.39	272	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__14-2;s__14-2 sp000403845	84.75	3.898		C04M3_subsampled_20Gb_Hybrid_bin.39_NODE_10243_length_7801_cov_1.651779 (5687, 7218)		34	med
C04M3_subsampled_20Gb_Hybrid_bin.4	142	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__	88.36	2.059			2 present	41	med
C04M3_subsampled_20Gb_Hybrid_bin.40	224	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__	88.75	0.559	C04M3_subsampled_20Gb_Hybrid_bin.40_NODE_26225_length_2505_cov_3.409809 (2326, 2434)	C04M3_subsampled_20Gb_Hybrid_bin.40_NODE_1817_length_37461_cov_3.623093 (35129, 36655)		36	med
C04M3_subsampled_20Gb_Hybrid_bin.41	196	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__	92.89	1.455				44	med
C04M3_subsampled_20Gb_Hybrid_bin.42	47	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Schaedlerella;s__Schaedlerella arabinosiphila	94.73	1.773		2 present		53	med
C04M3_subsampled_20Gb_Hybrid_bin.43	2	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila	97.95	0.68	3 present	3 present	3 present	53	med
C04M3_subsampled_20Gb_Hybrid_bin.44	46	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp000403335	97.58	2.485		5 present	4 present	60	med
C04M3_subsampled_20Gb_Hybrid_bin.45	25	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp001689485	99.05	0.377	4 present	3 present	4 present	54	med
C04M3_subsampled_20Gb_Hybrid_bin.46	222	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__ASTD01;s__	93.23	4.405		C04M3_subsampled_20Gb_Hybrid_bin.46_NODE_1592_length_42147_cov_5.254043 (578, 2104)		53	med
C04M3_subsampled_20Gb_Hybrid_bin.47	104	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerosacchariphilus;s__	94.5	0.158	2 present	2 present		34	med
C04M3_subsampled_20Gb_Hybrid_bin.48	22	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-95;s__CAG-95 sp009911035	97.7	1.724	C04M3_subsampled_20Gb_Hybrid_bin.48_NODE_235_length_205864_cov_128.014288 (369, 463)	C04M3_subsampled_20Gb_Hybrid_bin.48_NODE_235_length_205864_cov_128.014288 (607, 2140)		47	med
C04M3_subsampled_20Gb_Hybrid_bin.49	21	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__UBA11940 sp013316055	95.29	0.099	2 present		C04M3_subsampled_20Gb_Hybrid_bin.49_NODE_883_length_70652_cov_4.356966 (12, 1310)	38	med
C04M3_subsampled_20Gb_Hybrid_bin.5	39	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__	94.13	1.34		3 present	3 present	55	med
C04M3_subsampled_20Gb_Hybrid_bin.50	306	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__	84.45	1.062				30	med
C04M3_subsampled_20Gb_Hybrid_bin.51	6	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__UBA7001;s__	78.23	8.836	2 present	4 present	2 present	42	med
C04M3_subsampled_20Gb_Hybrid_bin.52	8	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__	99.43	0.377	4 present	4 present	4 present	51	med
C04M3_subsampled_20Gb_Hybrid_bin.53	74	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UMGS1872;s__	97.65	3.691	2 present			43	med
C04M3_subsampled_20Gb_Hybrid_bin.54	163	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA1405;s__	95.74	3.243	3 present	2 present	2 present	52	med
C04M3_subsampled_20Gb_Hybrid_bin.55	175	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__HGM13634;s__	71.42	1.342	C04M3_subsampled_20Gb_Hybrid_bin.55_NODE_28184_length_2230_cov_1.500235 (108, 216)	C04M3_subsampled_20Gb_Hybrid_bin.55_NODE_4292_length_17239_cov_1.177830 (1434, 2948)	C04M3_subsampled_20Gb_Hybrid_bin.55_NODE_4292_length_17239_cov_1.177830 (1, 850)	35	med
C04M3_subsampled_20Gb_Hybrid_bin.56	486	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA9502;s__	75.16	2.341				26	med
C04M3_subsampled_20Gb_Hybrid_bin.57	111	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__	98.62	1.866	C04M3_subsampled_20Gb_Hybrid_bin.57_NODE_1024_length_61413_cov_7.845435 (61158, 61264)	C04M3_subsampled_20Gb_Hybrid_bin.57_NODE_3740_length_19349_cov_9.565403 (18420, 19349)		45	med
C04M3_subsampled_20Gb_Hybrid_bin.58	64	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__14-2;s__14-2 sp000403315	98.27	3.065	4 present	4 present	5 present	57	med
C04M3_subsampled_20Gb_Hybrid_bin.59	76	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-552;g__;s__	92.22	0.699		C04M3_subsampled_20Gb_Hybrid_bin.59_NODE_2657_length_26441_cov_1.426012 (12375, 13885)		38	med
C04M3_subsampled_20Gb_Hybrid_bin.6	327	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__ASTD01;s__	82.82	1.871				46	med
C04M3_subsampled_20Gb_Hybrid_bin.60	29	d__Bacteria;p__Firmicutes_B;c__Dehalobacteriia;o__UBA4068;f__UBA5755;g__;s__	88.43	1.105	2 present	C04M3_subsampled_20Gb_Hybrid_bin.60_NODE_42_length_554308_cov_3.903369 (550172, 551753)	C04M3_subsampled_20Gb_Hybrid_bin.60_NODE_42_length_554308_cov_3.903369 (552304, 554308)	46	med
C04M3_subsampled_20Gb_Hybrid_bin.61	171	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Marseille-P3106;s__	90.92	1.342		C04M3_subsampled_20Gb_Hybrid_bin.61_NODE_4177_length_17687_cov_5.565101 (2262, 3788)	C04M3_subsampled_20Gb_Hybrid_bin.61_NODE_4177_length_17687_cov_5.565101 (4, 1407)	34	med
C04M3_subsampled_20Gb_Hybrid_bin.62	499	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__	70.18	1.686				17	med
C04M3_subsampled_20Gb_Hybrid_bin.63	274	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA9475;s__	83.5	4.026				32	med
C04M3_subsampled_20Gb_Hybrid_bin.64	36	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__	98.27	1.34		3 present	3 present	56	med
C04M3_subsampled_20Gb_Hybrid_bin.65	66	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Parasutterella;s__Parasutterella excrementihominis	97.99	0.0	3 present	3 present	C04M3_subsampled_20Gb_Hybrid_bin.65_NODE_599_length_100510_cov_3.241408 (37326, 40207)	61	med
C04M3_subsampled_20Gb_Hybrid_bin.66	40	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella muris	99.43	0.754	3 present	3 present	3 present	56	med
C04M3_subsampled_20Gb_Hybrid_bin.67	268	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3402;s__	93.33	4.45				48	med
C04M3_subsampled_20Gb_Hybrid_bin.68	275	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UMGS1872;s__UMGS1872 sp014237695	87.07	2.013				24	med
C04M3_subsampled_20Gb_Hybrid_bin.69	213	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Adlercreutzia;s__Adlercreutzia muris	92.05	0.537	C04M3_subsampled_20Gb_Hybrid_bin.69_NODE_3186_length_22447_cov_1.981833 (6231, 6323)	C04M3_subsampled_20Gb_Hybrid_bin.69_NODE_3186_length_22447_cov_1.981833 (1308, 2813)	C04M3_subsampled_20Gb_Hybrid_bin.69_NODE_3186_length_22447_cov_1.981833 (3130, 6082)	43	high
C04M3_subsampled_20Gb_Hybrid_bin.7	143	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__ASTD01;s__	93.41	4.107				45	med
C04M3_subsampled_20Gb_Hybrid_bin.70	27	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__	93.83	0.377	C04M3_subsampled_20Gb_Hybrid_bin.70_NODE_199_length_229605_cov_5.490353 (196, 292)	C04M3_subsampled_20Gb_Hybrid_bin.70_NODE_365_length_152373_cov_4.663771 (149248, 150779)	C04M3_subsampled_20Gb_Hybrid_bin.70_NODE_365_length_152373_cov_4.663771 (151197, 152372)	47	high
