genome	number of scaffolds	taxonomy	5S rRNA	16S rRNA	23S rRNA	tRNA count
bin_m10.mtb180	28	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-552;g__;s__	bin_m10.mtb180_m10_067727 (74, 184)	bin_m10.mtb180_m10_052118 (14918, 15459)	bin_m10.mtb180_m10_108517 (2, 1457)	41
bin_m10.mtb18_sub	35	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__	2 present			31
bin_m10.mtb200	50	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__	2 present			37
bin_m10.mtb203	29	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UMGS1004;s__	bin_m10.mtb203_m10_131646 (108053, 108162)	bin_m10.mtb203_m10_034705 (91948, 92910)	bin_m10.mtb203_m10_131646 (2, 1335)	31
bin_m10.mtb248	23	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__	3 present			42
bin_m10.mtb37	18	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__P3;g__;s__		bin_m10.mtb37_m10_051981 (1, 949)		43
bin_m10.mtb58	444	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__;s__				32
bin_m10.mtb70	6	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Anaeroplasmataceae;g__UMGS268;s__				36
bin_m10.mtb71	39	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA3700;g__RACS-045;s__				37
bin_m10.mtb86	65	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__	3 present			45
bin_m10.mxb17	48	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA3700;g__RACS-045;s__	2 present	bin_m10.mxb17_m10_083932 (162, 1666)		45
bin_m10.mxb39	22	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rs-D84;f__Rs-D84;g__Rs-D84;s__				44
bin_m10.mxb49	57	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__		bin_m10.mxb49_m10_136425 (4, 1316)	3 present	30
bin_m10.mxb52	35	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	bin_m10.mxb52_m10_100736 (28976, 29070)	bin_m10.mxb52_m10_135560 (2, 984)		38
bin_m10.mxb53	20	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA3263;s__				47
bin_m10.mxb56_sub	401	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia marmotae	3 present	bin_m10.mxb56_sub_m10_004874 (4956, 5511)		57
bin_m10.mxb78_sub	179	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__			2 present	46
bin_m10.mxb87_sub	36	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__	bin_m10.mxb87_sub_m10_096906 (348, 425)		bin_m10.mxb87_sub_m10_018098 (93437, 94263)	39
bin_m10.vmb1	104	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Schaedlerella;s__				28
bin_m10.vmb10	26	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__				36
bin_m10.vmb106	42	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Paraprevotella;s__	bin_m10.vmb106_m10_014209 (475, 580)			49
bin_m10.vmb116	383	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UBA1820;g__UBA1820;s__				29
bin_m10.vmb122	32	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-552;g__;s__	bin_m10.vmb122_m10_101371 (59, 168)	bin_m10.vmb122_m10_138979 (81194, 81741)	bin_m10.vmb122_m10_003278 (2, 1122)	45
bin_m10.vmb141	49	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Parasutterella;s__Parasutterella sp009767915	2 present			63
bin_m10.vmb15	61	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp002491305	4 present			45
bin_m10.vmb163_sub	424	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-552;g__HGM11386;s__				23
bin_m10.vmb169	219	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7160;s__				33
bin_m10.vmb194	139	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp902362375	4 present			62
bin_m10.vmb32	73	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__Elusimicrobiales;f__Elusimicrobiaceae;g__UBA1436;s__	bin_m10.vmb32_m10_087382 (5750, 5823)	bin_m10.vmb32_m10_087382 (390, 1897)	bin_m10.vmb32_m10_087382 (2541, 5560)	43
bin_m10.vmb38	81	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__UBA2866;s__	bin_m10.vmb38_m10_020567 (434, 510)			43
bin_m10.vmb62	65	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__UBA2866;s__	bin_m10.vmb62_m10_038807 (399, 475)			41
bin_m10.vmb68_sub	54	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__	4 present			48
bin_m10.vmb93_sub	22	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__	bin_m10.vmb93_sub_m10_045512 (101682, 101776)			29
bin_m10.vmb94	28	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA3263;s__UBA3263 sp002490725	bin_m10.vmb94_m10_100080 (11, 103)			46
bin_m11.cct146_sub	474	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Emergencia;s__				13
bin_m11.cct159	282	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__	3 present			44
bin_m11.cct57	35	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_C;s__Helicobacter_C japonicus				34
bin_m11.cct71_sub	172	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__UBA2866;s__	bin_m11.cct71_sub_m11_015509 (2971, 3046)	bin_m11.cct71_sub_m11_015509 (6224, 7781)	bin_m11.cct71_sub_m11_015509 (3120, 6036)	36
bin_m11.cct89_sub	611	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Monoglobales_A;f__UBA1381;g__CAG-41;s__				20
bin_m11.cct96	329	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__	bin_m11.cct96_m11_083280 (3189, 3281)	bin_m11.cct96_m11_049712 (5877, 6458)		27
bin_m11.mtb101	177	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-95;s__				40
bin_m11.mtb107	60	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__	4 present			40
bin_m11.mtb133	115	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenella;s__	2 present			44
bin_m11.mtb193	44	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__	bin_m11.mtb193_m11_012663 (201, 298)			36
bin_m11.mtb203	94	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__VSOB01;s__				34
bin_m11.mtb206	49	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__	2 present			33
bin_m11.mtb208	37	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__Paramuribaculum sp001689565	bin_m11.mtb208_m11_006432 (207, 308)			51
bin_m11.mtb241_sub	360	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UMGS1872;s__	bin_m11.mtb241_sub_m11_058029 (4992, 5098)			34
bin_m11.mtb243	147	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__				38
bin_m11.mtb249	161	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__;g__;s__	bin_m11.mtb249_m11_150956 (266, 373)	bin_m11.mtb249_m11_023997 (1, 921)	bin_m11.mtb249_m11_163563 (929, 3036)	33
bin_m11.mtb265	129	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__		bin_m11.mtb265_m11_047499 (59938, 61372)		46
bin_m11.mtb57	52	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA1242;g__UBA11517;s__			bin_m11.mtb57_m11_102915 (1, 2680)	38
bin_m11.mtb58	19	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-552;g__;s__	bin_m11.mtb58_m11_171904 (34190, 34299)			40
bin_m11.mtb59	69	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UMGS1004;s__	2 present	bin_m11.mtb59_m11_096059 (2, 427)		31
bin_m11.mtb76	232	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__1XD8-76;s__				50
bin_m11.mxb20	144	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__	bin_m11.mxb20_m11_045143 (6, 116)			40
bin_m11.mxb53	45	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UMGS1004;s__	bin_m11.mxb53_m11_080804 (63, 170)	bin_m11.mxb53_m11_161181 (2, 427)		33
bin_m11.mxb6	45	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Raoultella;s__Raoultella planticola	4 present	bin_m11.mxb6_m11_025325 (3, 1290)	bin_m11.mxb6_m11_025325 (1737, 2831)	71
bin_m11.vmb104	204	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__ASTD01;s__				26
bin_m11.vmb173	280	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__	2 present	bin_m11.vmb173_m11_061792 (3, 467)		35
bin_m11.vmb184	141	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__	2 present			27
bin_m11.vmb199	197	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__;s__				42
bin_m11.vmb200_sub	360	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-314;g__;s__	bin_m11.vmb200_sub_m11_025479 (2, 77)			19
bin_m11.vmb25	51	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__				35
bin_m11.vmb32	33	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__	bin_m11.vmb32_m11_100562 (119374, 119485)			35
bin_m11.vmb45	79	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__ASTD01;s__				23
bin_m11.vmb61	16	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__UBA2866;s__	bin_m11.vmb61_m11_045965 (159741, 159817)	bin_m11.vmb61_m11_153926 (38069, 39592)	bin_m11.vmb61_m11_045965 (160025, 163109)	48
bin_m11.vmb74	257	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UMGS1370;s__				34
bin_m11.vmb84	69	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella sp001689575	bin_m11.vmb84_m11_077008 (26, 113)			48
bin_m12.cct109_sub	155	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__				41
bin_m12.cct139	68	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rs-D84;f__Rs-D84;g__Rs-D84;s__				47
bin_m12.cct52_sub	51	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7109;s__				50
bin_m12.cct83_sub	70	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-557;s__	bin_m12.cct83_sub_m12_123782 (1451, 1561)			44
bin_m12.mtb121	59	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__Paramuribaculum sp001689535	3 present			36
bin_m12.mtb122	30	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__				37
bin_m12.mtb124	50	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__	3 present			43
bin_m12.mtb152	40	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA3263;s__	4 present			46
bin_m12.mtb29	52	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Zag111;s__	bin_m12.mtb29_m12_009954 (4053, 4162)	bin_m12.mtb29_m12_009954 (1, 689)	bin_m12.mtb29_m12_009954 (985, 3985)	36
bin_m12.mtb43	232	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__UMGS1994;s__				30
bin_m12.mtb81	166	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus sp014145615	bin_m12.mtb81_m12_088013 (2837, 2948)			38
bin_m12.mtb99_sub	318	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Schaedlerella;s__				28
bin_m12.mxb67_sub	557	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__		bin_m12.mxb67_sub_m12_136099 (54772, 56289)	bin_m12.mxb67_sub_m12_009473 (740, 1907)	43
bin_m12.mxb77_sub	245	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__UMGS1663;s__				25
bin_m12.vmb111	286	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__CAG-495;s__				28
bin_m12.vmb143	139	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__14-2;s__				46
bin_m12.vmb162	313	d__Bacteria;p__Firmicutes;c__Bacilli;o__ML615J-28;f__CAG-313;g__CAG-313;s__				22
bin_m12.vmb38	140	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-552;g__;s__				29
bin_m12.vmb59	30	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__CAG-267;s__				41
bin_m13.cct136_sub	40	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-552;g__;s__	2 present	bin_m13.cct136_sub_m13_091818 (69396, 70826)		43
bin_m13.mtb110	669	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__				33
bin_m13.mtb113_sub	68	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__;s__	2 present			35
bin_m13.mtb118_sub	249	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	bin_m13.mtb118_sub_m13_009069 (5435, 5543)			43
bin_m13.mtb145	294	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	bin_m13.mtb145_m13_031151 (44474, 44575)			33
bin_m13.mtb164_sub	1365	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__				39
bin_m13.mtb182	44	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__	2 present			47
bin_m13.mtb194	107	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus intestinalis	bin_m13.mtb194_m13_070803 (114, 224)	bin_m13.mtb194_m13_069905 (2, 688)	bin_m13.mtb194_m13_069905 (899, 2923)	47
bin_m13.mtb199	21	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__UBA2866;s__	bin_m13.mtb199_m13_004441 (399, 475)			44
bin_m13.mtb55	46	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__				40
bin_m13.mtb58	246	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA3830;f__UBA3830;g__CADBNZ01;s__				26
bin_m13.mtb75	28	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__CAG-495;s__				42
bin_m13.mtb85	90	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__;g__;s__		bin_m13.mtb85_m13_056481 (192, 1702)	bin_m13.mtb85_m13_002751 (498, 3270)	39
bin_m13.mtb94	89	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__				38
bin_m13.mtb95	111	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__1XD8-76;s__				42
bin_m13.mtb98	14	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__;g__;s__	bin_m13.mtb98_m13_009260 (439, 515)			43
bin_m13.mxb183_sub	214	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__;g__;s__		bin_m13.mxb183_sub_m13_017518 (3, 619)		3
bin_m13.mxb31	38	d__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__;s__	bin_m13.mxb31_m13_014214 (71388, 71461)	bin_m13.mxb31_m13_014214 (66599, 68107)	bin_m13.mxb31_m13_014214 (68437, 71324)	29
bin_m13.mxb55_sub	43	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__	2 present			36
bin_m13.mxb57	47	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Parasutterella;s__	2 present	2 present	bin_m13.mxb57_m13_098615 (200, 3079)	60
bin_m13.mxb60_sub	53	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__TF01-11;s__			bin_m13.mxb60_sub_m13_062392 (63112, 65542)	46
bin_m13.mxb67_sub	454	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-95;s__		bin_m13.mxb67_sub_m13_004809 (1794, 3323)		39
bin_m13.mxb7	36	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__	3 present		bin_m13.mxb7_m13_029110 (2, 2213)	45
bin_m13.vmb103	69	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__	2 present			36
bin_m13.vmb111	22	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__WRBF01;g__;s__	bin_m13.vmb111_m13_089195 (210, 321)			40
bin_m13.vmb114	117	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA9502;s__UBA9502 sp003611875				43
bin_m13.vmb131	51	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__	2 present			39
bin_m13.vmb150	690	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__MD308;s__				29
bin_m13.vmb30	100	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Rodentibacter;s__Rodentibacter sp001999425	4 present			34
bin_m13.vmb37	339	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-552;g__;s__				6
bin_m13.vmb72	100	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-552;g__;s__	2 present		bin_m13.vmb72_m13_032128 (20661, 22696)	42
bin_m13.vmb79	65	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium;s__Erysipelatoclostridium ramosum	2 present			38
bin_m13.vmb90	78	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__				44
bin_m14.cct152	232	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1071;s__	2 present			30
bin_m14.cct71	54	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA3700;g__RACS-045;s__	2 present	bin_m14.cct71_m14_138573 (20773, 22288)	bin_m14.cct71_m14_029425 (11781, 13883)	46
bin_m14.mtb117_sub	599	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA9475;s__				26
bin_m14.mtb121	176	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Kineothrix;s__				44
bin_m14.mtb129	114	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	bin_m14.mtb129_m14_087512 (21280, 21388)		bin_m14.mtb129_m14_031493 (33, 1569)	42
bin_m14.mtb131	194	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__	2 present			28
bin_m14.mtb143	490	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Adlercreutzia;s__	bin_m14.mtb143_m14_101806 (1567, 1657)		bin_m14.mtb143_m14_101806 (81, 1415)	31
bin_m14.mtb145_sub	253	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__UBA5026;s__				8
